NCT Number,Study Title
NCT01733550,ICare Self-tonometry - A Head-to-head Comparison to the Gold Standard Goldmann Tonometer
NCT01677507,Glaucoma Biomarkers
NCT00453024,Imaging Ahmed Glaucoma Tubes With a Pericardial Graft and Tissue Glue or Partial-Thickness Scleral Flap and Sutures
NCT01025024,Investigation of Genetic Disease Marker Associated With Korean Glaucoma Patients
NCT01898624,Specified Drug Use-results Survey of Betanis Tablets
NCT00551395,Timing of Treatment Completion in Staged Selective Laser Trabeculoplasty (SLT): Early vs. Late Completion
NCT02655432,Performance of a Photoscreener for Vision Screening in a Haitian Pediatric Population
NCT06144918,Phase 2 Placebo-Controlled Study Assessing the Safety and Ocular Efficacy of SBI-100 Ophthalmic Emulsion in Patients With Elevated Eye Pressure
NCT05506423,Study of the CycloPen Micro-Interventional System and Long-Term Clinical Outcomes
NCT05039684,Inflammatory Biomarkers in Ocular Surface in Primary Open Angle Glaucoma or Ocular Hypertension Under Topical Prostaglandins
NCT01887223,Transconjunctival Needling Revision Versus Medical Treatment
NCT01087684,Response to SLT vs. ALT in Patients Under 60 Years of Age
NCT01840202,Ocular Blood Flow in Glaucoma Patients - the Leuven Eye Study
NCT00940823,The AVB Study: Prospective Study Comparing the Ahmed Valve and the Baerveldt Implant for Treating Refractory Glaucoma
NCT05231928,A Novel Argon Laser Iridoplasty for Pigment Dispersion Syndrome
NCT03584958,Comparing Refractive and Visual Outcomes of MIGS and Traditional Surgeries
NCT01105923,Study of an Intervention to Improve Problem List Accuracy and Use
NCT00323284,A Study of the Trabecular Micro-bypass Stent in Combination With Cataract Surgery in Subjects With Open Angle Glaucoma
NCT00332384,Safety and Efficacy Study of Brimonidine/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension
NCT00444184,24-hour Intraocular Pressure Control With Travoprost/Timolol Fixed Combination Versus Travoprost
NCT01430923,Clinical Evaluation of Safety and Efficacy of Refrigeration Free Latanoprost
NCT01417858,Intraocular Pressure Control After Anterior Segment Laser - Comparison Between 2 Drugs
NCT03423758,Investigating the Genetic Basis of Pseudoexfoliation Syndrome Angle-closure Glaucoma and Primary Open-angle Glaucoma
NCT04602923,Keratometric Change After XEN Trabeculectomy and Tube Shunts
NCT02390284,Stop Retinal Ganglion Cell Dysfunction Study
NCT03912584,Study Comparing the P200TE and the P200TxE in Glaucoma Patients
NCT00494923,Early Diagnosis Pathogenesis and Progression of Open Angle Glaucoma
NCT01507584,The Effects of the Water Drinking Test on Intraocular Pressure
NCT04037384,Training of Eye Movements in Glaucoma
NCT01230736,Safety and Efficacy of Changing to DuoTrav From Prior Therapy
NCT00848536,Efficacy Study of Travoprost APS Versus TRAVATAN
NCT00527501,IOP Lowering Efficacy of Travoprost/Brinzolamide Fixed Combination Ophthalmic Suspension in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT00559234,Potential Research Participants for Future Studies of Inherited Eye Diseases
NCT05503901,A Long Term Study of STN1012600 in Subjects With Open Angle Glaucoma or Ocular Hypertension
NCT01849536,Corneal Biomechanics and Continuous IOP Monitoring Using Soft Contact Lenses in Glaucomatous Patients
NCT00332436,Safety and Efficacy Study of Brimonidine/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension
NCT04205201,The Effectiveness of Topical Latanoprost Compared With Topical Brimonidine in the Treatment of the Primary Open Angle Glaucoma
NCT03651336,Long-term Safety and Performance of the ARGOS-IO Intraocular Pressure Sensor System in Subjects With Primary Open Angle Glaucoma (POAG)
NCT05253534,GlaucoT Glaucoma Treatment Glasses in the Treatment of Primary Open-Angle Glaucoma
NCT04784234,Vision Preservation and Restoration Following a 6 Month Trial of GlaucoCetin
NCT04038034,Valuation of the Antioxidant and Neuroprotective Effects of CoQ10-MINIACTIVES® (COQUN® OS) in Patients Affected by Primary Open Angle Glaucoma
NCT05536401,P200TE Agreement and Precision Study
NCT04735601,Ahmed Valve Implantation Coated With Poly Lactic -Co-glycolic Acid (PLGA) Saturated With Mitomycin-C in the Management of Adult Onset Glaucoma in Sturge Weber Syndrome
NCT04285580,A Phase 3b Study Evaluating the 24-Hour Intraocular Pressure Lowering Effect of Bimatoprost SR in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT01896180,Study to Compare the Safety and Efficacy of ALZ-1101 to Latanoprost in Patients With Intraocular Pressure Inadequately Controlled by Latanoprost
NCT04947124,A Study to Determine the Safety and Tolerability of 2 Concentrations of QLS-101
NCT05147701,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cells for Eye Diseases
NCT03338101,Comparative Study Between Tonometers
NCT01879501,Living Successfully With Chronic Eye Diseases
NCT02050880,OCT Agreement and Crossed Precision Study
NCT05703724,Prevalence of Glaucoma in Belgium: a Multicenter National Trial
NCT01628601,GANfort® in Patients With Primary Open Angle Glaucoma or Ocular Hypertension Who Are Insufficiently Responsive to Monotherapy
NCT04132401,AI for the Detection of Retinal Disease and Glaucoma in Patients With Diabetes Mellitus in Primary Care
NCT05269680,STAR-LIFE: a Post-market Registry on MINIject
NCT04448080,Comparison of Topical Anesthesia and Analgosedation in Micropulse Transscleral Glaucoma Treatment
NCT06174324,Visual Field Progression and RNFL Change After PreserFlo MicroShunt Implantation
NCT00443924,Study of INS115644 Ophthalmic Solution in Subjects With Ocular Hypertension or Glaucoma
NCT03750201,A Study to Assess an Automated Laser Device for Direct Selective Laser Trabeculoplasty
NCT00327301,Cellular Proteome From Leukocytes of Glaucoma Patients in Comparison With Patients With Parkinson's Disease
NCT06000280,Evaluation of Retina in Patients With Glaucoma Using Topical Prostaglandins Undergoing Trabeculectomy Surgery
NCT03310580,Study of Netarsudil Ophthalmic Solution in Japanese/Japanese-American Subjects With Open-angle Glaucoma or Ocular Hypertension
NCT00644280,Ranibizumab in Preventing Failure of Ahmed Valve Glaucoma Surgery
NCT01561001,IOP Fluctuations in Primary Open Angle Glaucoma Patients Before and After Deep Sclerectomy With Collagen Implant
NCT03086980,Automatic Self Transcending Meditation (ASTM) Versus Usual Care in Patients With Glaucoma
NCT02875158,Cyclophotocoagulation in Glaucoma
NCT00221923,African Descent and Glaucoma Evaluation Study
NCT01170884,Comparing Safety and Efficacy of Combigan® and Lumigan® With Lumigan® Alone in Glaucoma or Ocular Hypertension Subjects Treated With Xalatan®
NCT01391078,Comparison of Sensimed Triggerfish With Goldmann Applanation Tonometry and Perkins Tonometry
NCT04553523,Hydrus® Microstent New Enrollment Post-Approval Study
NCT02339584,Efficacy and Safety of Brinzolamide/Brimonidine Fixed Combination BID Compared to Brinzolamide BID Plus Brimonidine BID in Subjects With Open-Angle Glaucoma (OAG) or Ocular Hypertension (OHT)
NCT03931564,SIGHT Study: Cost-effectiveness of InnFocus Microshunt Implantation vs. Trabeculectomy.
NCT02917564,Triamcinolone Injections for Persistent Choroidal Effusions Post Glaucoma Surgery
NCT03624361,MINIject Glaucoma Implant in European Patients
NCT03274323,Trabeculectomy Versus 2-iStent and Prostaglandin Study
NCT04530084,A Single Center Proof Of Concept Study To Assess Intra And Perioperative Safety Profile Of OMNI Surgical System
NCT04088084,Effects of Palmitoylethanolamide on Inner Retinal Function in Glaucoma Patients by Pattern Electroretinogram
NCT00801658,Efficacy of SLT in Patients With Insufficient IOP Control Under Maximum Tolerated Drug Therapy (Eye Drops)
NCT02199158,Short-term Outcomes of Iridoplasty for Persistent Angle Closure Despite Patent Iridotomies
NCT01052558,GTS400 Stent Implantation in Conjunction With Cataract Surgery in Subjects With Open-angle Glaucoma
NCT02405884,Intraocular Pressure and Hemodialysis Midwestern Brazil
NCT01779284,Travoprost/Timolol vs Latanoprost/Timolol Fixed Combination Therapy
NCT00847158,A Clinical Trial of Phacoemulsification Versus Phacoemulsification & the iStent Implantation in POAG Patients
NCT04878458,Phacotrabeculectomy Versus Phacogoniotomy (PVP) in Advanced Primary Angle-closure Glaucoma
NCT04060758,Open Label Sequential-dose Study of PA5108 Latanoprost FA SR Ocular Implant for Mild-moderate Glaucoma
NCT06139523,Optimize Pediatric OCT Imaging
NCT00348023,Bimatoprost Monotherapy vs. Dual Therapy With Travoprost and Timolol in Patients With Glaucoma and Ocular Hypertension
NCT01654484,A Study Assessing the Safety and Efficacy of DE-117 Ophthalmic Solution in Patients With POAG or OHT
NCT02177123,Post Market Study of the InnFocus MicroShunt
NCT06158984,Managing Dry Eye in Patients Using Glaucoma Drops
NCT05844384,Nanodropper Use in Primary Open-Angle Glaucoma Patients: A Non-Inferiority Trial
NCT03804684,visuALL Field Analyzer (vFA) Compared to Standard Humphrey Automated Perimetry
NCT02045823,OCT Agreement and Precision Study
NCT02247284,Reproducibility of RNFL and ONH Measurements in OAG With Heidelberg Spectralis SD-OCT Glaucoma Module Premium Edition
NCT00756184,Value of an Intervention to Enhance Adherence in Glaucoma Patients
NCT03065036,Safety and Efficacy Study of the Hydrus Aqueous Implant in Subjects With POAG
NCT01514734,Assessing the Efficacy and Tolerability of AZARGA® (Brinzolamide 1%/Timolol 0.5% Fixed Combination) as Replacement Therapy in Patients on COMBIGAN® (Brimonidine 0.2%/Timolol 0.5% Fixed Combination) Therapy in Brazil
NCT00647101,A Study to Assess the Efficacy of 3 Months of Latanoprost Treatment in Reducing the Intraocular Pressure in Patients With Ocular Hypertension or Open-angle Glaucoma
NCT02901236,Bevacizumab Versus Mitomycin C as Trabeculectomy Adjuvant in Uncontrolled Glaucoma
NCT02858284,Evaluation of Safety and Efficacy of TUG (Therapeutic Ultrasound for Glaucoma) in the Treatment of Primary Open Angle Glaucoma or Ocular Hypertension
NCT03267134,Hydrus Microstent for Refractory Open-Angle Glaucoma
NCT01037036,A Study of the L-PPDS With Adjunctive Xalatan® Eye Drops in Subjects With OH or OAG
NCT02036541,AqueSys XEN 45 Glaucoma Implant in Refractory Glaucoma
NCT05876936,Prospective Open Label Study to Assess 24hs IOP Recorded With Triggerfish® in Patients With OAG Before and After DSCI
NCT04547036,Changes in Corneal Endothelial Cell Density After Transscleral ab Interno Glaucoma Gel Stent Implantation
NCT00397241,24-hour Study of Dorzolamide/Timolol and Latanoprost/Timolol Fixed Combinations
NCT05871034,Electroretinogram and Retinal Vascular Changes After Cataract Surgery
NCT02003534,A Study of 0.15% Brimonidine Tartrate in Patients With Primary Open Angle Glaucoma and Ocular Hypertension
NCT01263834,Results of Adjunctive Intraoperative Bevacizumab Injection on Trabeculectomy Outcome
NCT05964634,Effect of Peripapillary Atrophy to Diagnose Glaucoma in High Myopia
NCT00788541,A Dose-Volume Study of a Treatment for Elevated IOP Due to Open-Angle Glaucoma or Ocular Hypertension
NCT03551834,Ahmed Glaucoma Valve Implantation; Graft-Free Short Tunnel Small Flap Versus Scleral Patch Graft
NCT00800540,Circadian Ocular Perfusion Pressure and Ocular Blood Flow
NCT05426044,Metformin as a Neuroprotective Therapy for Glaucoma - A Randomized Controlled Trial
NCT04447157,The Efficacy of a 6-point Transscleral Suture Fixation of a 3-looped Haptics PC-IOL Implantation Through Scleral Pockets for Surgical Management for Microspherophakia
NCT04921098,CPC in Adult Refractory Glaucoma
NCT00796198,Effects of Cosopt on IOP and on Ocular Diastolic Perfusion Pressure
NCT00972257,24-hr Intraocular Pressure Control With Dorzolamide/Timolol vs the Brimonidine/Timolol Fixed Combination
NCT00449098,Ologen (OculusGen)-Glaucoma MMC Control Trial in India
NCT01145898,Trusopt and Cosopt; Ocular Perfusion Pressure and Blood Flow: New Long-term Prospective Data
NCT00306657,Normal Tension and Chronic Open Angle Glaucoma and Cerebrospinal Fluid Composition
NCT03052257,Improve Glaucoma Medication Adherence
NCT06058598,Exercise Training in Patients With Glaucoma
NCT05151757,Developing and Testing a Low Cost Opportunistic Glaucoma Screening Model by Non-physician Graders in Vietnam
NCT00428740,Long-Term IOP Fluctuation and VF Progression After Triple Procedure
NCT05624398,Results of Patients With Glaucoma Undergoing Minimally Invasive Glaucoma Surgery in Conjunction With Cataract Surgery
NCT03924544,Decorin in Sub Scleral Trabeculectomy
NCT04172857,Treatment of Malignant Glaucoma by Anterior Vitrectomy From Two Different Approaches
NCT02852057,Effectiveness and Safety of Timolol and Dorzolamide Loaded Contact Lenses
NCT02136940,Multiple Dose-parallel-group Study of AMA0076 in Patients With Primary Open-Angle Glaucoma or Ocular Hypertension
NCT00326040,A Study of the Glaukos Trabecular Micro-Bypass Stent in Refractory Open Angle Glaucoma Subjects
NCT00284440,Choroidal Blood Flow Response to Hand-grip Test in Progressive Glaucoma
NCT01444040,Subjects With Open-angle Glaucoma Pseudoexfoliative Glaucoma or Ocular Hypertension Naïve to Medical and Surgical Therapy Treated With Two Trabecular Micro-bypass Stents (iStent Inject) or Travoprost
NCT00452998,Sequential Laser Iridotomy Using Argon and Q-Switched 532 nm Frequency Doubled Neodymium Yag Laser: A Pilot Study
NCT01547598,Safety and Efficacy of LUMIGAN® RC Versus DuoTrav® in Patients Who Require Further Intraocular Pressure (IOP) Reduction
NCT03949244,Nailfold Capillary Blood Flow With Latanoprost Bunod
NCT02641457,Intravitreal Aflibercept or Ranibizumab for Rubeosis Iridis
NCT04499157,Effect of MEMOPTIC on Visual Field of Patients Followed for a Chronic Open-angle Glaucoma
NCT00705757,The Effects of Xalatan Travatan and Lumigan on Skin Pigmentation Near the Eye
NCT03255798,A Prospective Evaluation of Glaucoma Subjects Treated With Two Second Generation iStents and One iStent Supra
NCT05581498,Glaucoma Exercise as Medicine Study (GEMS).
NCT00332540,Safety and Efficacy Study of Bimatoprost/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension
NCT02016898,The Effect of Sponge Versus No-Sponge Placement of Mitomycin-C on the Outcomes of Trabeculectomy With Ex-PRESS Glaucoma Filtration Device
NCT04337944,Endoscopic Assisted Anterior Hyaloid Peeling in Boston Type 1 Keratoprosthesis (KPro-HP-Endo)
NCT04994457,Patient Performance on Virtual Reality Visual Field Devices as Compared to Standard of Care
NCT00369057,Intra Ocular Pressure During Robotic Prostatectomy
NCT02053298,Impact of Timolol/Dorzolamide Therapy on Autoregulation in Glaucoma Patients
NCT01518244,Assessing the Efficacy and Tolerability of AZARGA® (Brinzolamide 1%/Timolol 0.5% Fixed Combination) as Replacement Therapy in Patients on Brimonidine 0.2%/Timolol 0.5% Fixed Combination Therapy (COMBIGAN®) in Latin America
NCT00691340,Cellular Proteome From Leukocytes of Glaucoma Patients in Comparison With Patients With Alzheimer's Disease
NCT04828057,Preservative-free Fixed-dose Combination of Tafluprost 0.0015% / Timolol 0.5% in Patients With Open-angle Glaucoma or Ocular Hypertension: Clinical Effectiveness Tolerability and Safety in a Real World Setting
NCT01177098,Safety and Efficacy of a New Formulation of Bimatoprost/Timolol Ophthalmic Solution Compared With Bimatoprost/Timolol Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension
NCT00629044,Genetic Polymorphysm of Cholesterol 24 S Hydroxylase in Patients With Glaucoma and AMD
NCT00803998,Ocular Hypertension Treatment Study (OHTS)
NCT04624698,iStent Inject New Enrollment Post-Approval Study
NCT02743780,A Three Part Study of MGV354 in Ocular Hypertension or Glaucoma
NCT00683501,Safety Efficacy and Pharmacokinetic Profile of DNB-001 in Subjects With Elevated Intraocular Pressure
NCT05271734,Evaluation of the Compatibility of Different Eye Lid Retractors to the Direct Selective Laser Trabeculoplasty (DSLT) Procedure
NCT02526680,Does Using a Low Vision Aid Device Improve Quality of Life in Glaucoma Patients?
NCT02031380,iDropper Usability in Glaucoma
NCT01976624,Safety and Efficacy of Bimatoprost/Timolol (Ganfort®) Ophthalmic Solution in Korea
NCT00824824,Effect of Cosopt Versus Combigan on Retinal Vascular Autoregulation in Primary Open Angle Glaucoma (POAG)
NCT04673201,Management Steroid Induced Glaucoma
NCT00304824,Assessment of the Ability to Distinguish Odors in Glaucoma Patients
NCT02748824,Five-year Incidence of Age-related Macular Degeneration in the Central Region of Portugal
NCT00595101,A Phase 2 Dose Finding Study of PF-03187207 in Patients With Primary Open Angle Glaucoma or Ocular Hypertension.
NCT04770324,Study of a Novel Interposition Supraciliary Implant in Patients With Open Angle Glaucoma (SAFARI 2)
NCT01464424,Assessment of Intraocular Pressure (IOP) Control in Subjects With Open-Angle Glaucoma or Ocular Hypertension Treated With Travoprost 0.004% (TRAVATAN® Z) or Bimatoprost 0.01% (LUMIGAN®)
NCT00911924,A Prospective Unmasked Evaluation of the iStent in Patients With Primary Open-Angle Glaucoma
NCT00515424,Tolerability Safety and Efficacy of RKI983 Eye Drops in Subjects With Primary Open Angle Glaucoma and Ocular Hypertension
NCT01915680,Intraocular Pressure Fluctuation in Patients With Glaucoma and in Healthy Patients During Standard Yoga Positions
NCT01209624,Observational Study of the Long-term Effect of Latanoprost in Normal Tension Glaucoma
NCT01841580,Proteomic Profiles in Trabeculectomy Patients
NCT00379834,12-Month Stability of Diurnal IOP Control on Cosopt
NCT03868124,Clinical Study Comparing Two Models of a Travoprost Intraocular Implant
NCT00478036,Comparing Acular LS and Pred Forte in Reducing Post-selective Laser Trabeculoplasty Anterior Chamber Flare and Cells
NCT03164941,Effect of SLT Location on Treatment Outcomes
NCT03274024,The Asia Primary Tube Versus Trab (TVT) Study
NCT00471380,A Phase IV Study of Travoprost + Brinzolamide to Treat Glaucoma or Ocular Hypertension
NCT02863224,Advanced Glycation End Products as a Biomarker for Accelerated Ageing
NCT03057301,Assessment of Home Tonometry in Glaucoma
NCT02594280,Benchmarking Management of Glaucoma Using the Diopsys VEP/PERG Protocols.
NCT00444080,Comparison of Ex-PRESSTM Mini Glaucoma Shunt to Trabeculectomy in Subjects With Open Angle Glaucoma
NCT01668524,ATS907 Ph2a Open-Label Dose-ranging Safety and Tolerability in Primary Open Angle Glaucoma (POAG) and Ocular Hypertension (OHT) Subjects
NCT05456724,A Study to Investigate the Effect of IOP-lowering With TO-O-1001 Eye Drops in Healthy Subjects and in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT01857440,The Flashing Light-Induced Pupil Response (FLIPR) Glaucoma Study
NCT05710198,Efficacy of Citicoline Eye Drops 2% on Visual Field Preservation in Patients With Open Angle Glaucoma
NCT02666144,Comparison of Optic Nerve Head and Retinal Nerve Fiber Layer Parameters Derived From Two Different Methods of Scan Alignment
NCT05401357,Bioequivalence Study With Clinical Endpoint Comparing Bimatoprost Ophthalmic Solution 0.01% and LUMIGAN® in the Treatment of Chronic Open-Angle Glaucoma or Ocular Hypertension in Both Eyes.
NCT00892398,Trabeculectomy With Mitomycin C Associated With Sub-conjunctival Injection of Ranibizumab
NCT00277498,A 12-week Randomized Double-masked Parallel Group Comparison of Evening Dosing With Xalacom in Subjects With Glaucoma
NCT01379144,A Study Comparing The Efficacy Safety And Tolerability Of Latanoprost 75 100 And 125 ug/ml To Xalatan In The Treatment Of Primary Open-Angle Glaucoma And Ocular Hypertension
NCT01739244,Dose Finding Clinical Trial With SYL040012 to Evaluate the Tolerability and Effect on Intraocular Pressure in Subjects With Ocular Hypertension or Open Angle Glaucoma
NCT00155857,The Genetic Study of Primary Angle-Closure Glaucoma
NCT04758598,The Effects of DSLT and SLT on the Corneal Endothelium: A GLAUrious Trial Sub-Study
NCT00694876,Impact of Health Literacy and Other Factors on Glaucoma Patient Adherence in South India
NCT01391676,Imaging of Trabeculectomy Blebs Using the Spectral Domain Optical Coherence Tomography
NCT05747781,STReetlab Assessment Tool of Activities Daily Living in Glaucoma Patient
NCT01342081,DE-111 Against Tafluprost Ophthalmic Solution 0.0015% Alone and Concomitant Use of Tafluprost Ophthalmic Solution 0.0015% Plus Timolol Ophthalmic Solution 0.5%
NCT03901781,Study of ST266 Given by Intranasal Delivery in Glaucoma Suspect Subjects
NCT00767481,1 Year Study Trav/Brinz QD Fixed Combination Versus COSOPT
NCT01022281,Early Diagnosis in Glaucoma With GDxVcc
NCT02548676,Optical Angiography in Glaucoma
NCT01097174,CyPass Clinical Experience Study
NCT01442896,STudy to Assess Rapid Disease Progression by Clinical and Genetic Factors In Glaucoma patientS That Are High Risk
NCT00382395,SOLX Gold Shunt Versus Control Implant: Randomized Trial for Refractory Glaucoma
NCT05325996,Evaluating Home Testing Devices for the Management of Glaucoma
NCT00329095,An Evaluation of Use of Topical Ocular Hypotensive Medication by Compliance
NCT00652496,Safety and Efficacy Study of Different Formulations of Bimatoprost Once-Daily in Patients With Glaucoma or Ocular Hypertension
NCT00219596,Xalacom And Combination Of Unfixed Latanoprost And Timolol In Subjects With Open-Angle Glaucoma Or Ocular Hypertension
NCT02290795,Vitreopapillary Interface and Optic Disc Morphology
NCT00742196,Retinal Nerve Fiber Layer Thickness Measurement on Parapapillary Atrophy With the Cirrus High-Definition (HD) Optical Coherence Tomography (OCT)
NCT00457795,24-hour IOP-lowering Effect of Brimonidine 0.1%
NCT01001195,Safety and Efficacy of Three Formulations of AGN-210669 Ophthalmic Solution Compared With Bimatoprost Ophthalmic Solution
NCT00757835,24-hr IOP With Travoprost/Timolol Compared With Latanoprost/Timolol in XFG
NCT02829996,Study of Fixed-Dose Combinations of Trabodenoson and Latanoprost in Adults With OHT or POAG
NCT02754596,Study Comparing Travoprost Intraocular Implants to Timolol Ophthalmic Solution
NCT03610295,Prophylactic Peripheral Iridectomy Prevents Aphakic Angle-closure Glaucoma
NCT05583474,OPC-1085EL in the Treatment of Primary Open Angle Glaucoma or Ocular Hypertension in Chinese Subjects
NCT00597181,A Clinical Study Comparing the Inflammatory Response of the Ex-Press Mini Shunt to Trabeculectomy
NCT00376974,The Effect of Education on Patient Compliance
NCT04508881,Intraluminal Stenting Versus External Ligation of Ahmed Glaucoma Valve
NCT06000176,Comparison of Optical Coherence Tomography Angiography Microvascular Changes in Primary Open Angle and Primary Angle Closure Glaucoma
NCT01707381,BOL-303259-X With Timolol 0.5% in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT05344274,Retinal Blood Flow and Autoregulation
NCT00273481,Cosopt Versus Xalacom
NCT01099774,Safety and Efficacy of Different Formulations of Bimatoprost Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension
NCT02292381,Blood Flow Regulation in Glaucoma
NCT02964676,Clinical Efficacy and Safety of Minimally Invasive Glaucoma Surgery on Primary Angle Closure Glaucoma
NCT04486976,Comparative Study of the Cornea/Anterior Segment OCT CASIA2 and the RTVue XR OCT Avanti With AngioVue Software
NCT02558374,Double-masked Study of Netarsudil (AR-13324) Ophthalmic Solution in Subjects With Glaucoma or Ocular Hypertension
NCT02348476,A Study of Simbrinza™ Therapy in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT03159481,Glaucoma Management Optimism for African Americans Living With Glaucoma
NCT04007276,The Effect of Lumify™ on Ocular Redness Intraocular Pressure and Eyelid Position in Glaucoma Patients
NCT00051181,A Safety and Efficacy Study of Travoprost 0.004% Compared to Latanoprost 0.005% in Patients With Chronic Angle-Closure Glaucoma
NCT05773976,An Interventional Confirmative Post Marketing Clinical Followup (PMCF) Study to Evaluate Performance and Safety of Ophthalmic Solutions Used to Relieve Dry Eyes Like Symptoms in Glaucoma Patients.
NCT04360369,Comparison of Intraocular Pressure Measurements Between Reichert Tono-Vera Tonometer and Goldmann Tonometry
NCT00321035,Ologen (OculusGen)-Glaucoma and Pterygium Historical Control Study in Beijing Remin Hospital
NCT02272569,STARflo European Safety and Efficacy Study
NCT00874913,Study of Ocular Blood Flow in Patients With Glaucoma and/or Obstructive Sleep Apnea Syndrome (OSAS)
NCT03762369,A Clinical Study to Evaluate the Efficacy and Safety of CKD-351
NCT01979913,An Open Non-randomized Pilot Study on the Effect of Preservative Free Tafluprost (Saflutan® Augentropfen) in Patients With Ocular Hypertension or Primary Open Angle Glaucoma With an Uncontrolled Intraocular Pressure of 30 mmHg and More
NCT03797469,Nutritional Supplements and Performance During Visual Field Testing (B3 Vitamin)
NCT00579969,Comparison of Latanoprost Vs. Timolol
NCT03861169,Use of the OMNI® Surgical System in Combination With Cataract Extraction in Open Angle Glaucoma
NCT05089474,A First in Human Clinical Trial to Evaluate the Safety and Effectiveness of the STREAMLINE SURGICAL SYSTEM in Patients With Open-Angle Glaucoma
NCT01315574,Effects of Anti-Glaucoma Medications on the Ocular Surface
NCT00324181,Psychopathology of Normal-tension Glaucoma in Hong Kong Chinese Out-patient
NCT05299281,Micropulse Transscleral Diode Laser Cyclophotocoagulation (MP-TSCPC) as a Treatment Modality for Glaucoma Patients
NCT00822081,Comparison of the Fixed Combinations of Brimonidine/Timolol and Dorzolamide/Timolol in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT00810381,Ocular Hemodynamic Effects of Nitrovasodilators in Healthy Subjects
NCT03106181,A Comparison of Cataract Surgery Alone and Cataract Surgery With iStent
NCT03904381,Efficacy and Safety of XEN® Gel Stent and Post-operative Management in Patients With Open Angle Glaucoma
NCT02674074,Evaluation of Corneal Temperature by Infrared Thermography in Glaucoma Patients
NCT00441181,Effects of Travoprost on Neovascular Glaucoma
NCT02613013,Laser Peripheral Iridotomy Plus Laser Peripheral Iridoplasty for Primary Angle Closure
NCT02358369,Dose-Ranging Study of the Bimatoprost Ocular Insert
NCT00546013,Abdominal Aortic Aneurysms and Pseudoexfoliation Syndrome
NCT06176170,VividWhite Glaucoma Implant (VW-51) Pivotal Study
NCT02984813,Safety and Efficacy of Anti-Oxidants and Anti-inflammatory Agents in Glaucoma and Diabetic Retinopathy
NCT02271269,Study on Incentives for Glaucoma Medications Adherence
NCT05500469,Endothelial Cell Loss in Pseudophakic Patients Receiving a Paul Glaucoma Drainage Device With Its Tube Inserted in the Anterior Versus Posterior Chamber: a Randomized Controlled Trial
NCT02394613,A Phase I Clinical Trial of DARC
NCT00947869,Contrast Sensitivity in Glaucoma
NCT05521334,MicroPulse Transscleral Laser Cyclophotocoagulation With the Zig Zag Mode in Glaucoma.
NCT02622334,A Study to Investigate the Safety Tolerability Pharmacokinetics and Pharmacodynamics of RO5093151 in Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT).
NCT03193736,MINIject in Patients With Open Angle Glaucoma Uncontrolled by Topical Hypotensive Medications
NCT00572936,Circadian Rhythms of Aqueous Humor Dynamics in Humans
NCT05850936,Effect of IOP Lowering on Progressive HM
NCT01789736,A Study Assessing PG286 Ophthalmic Solution 0.5% Compared to Its Individual Components for 28 Days
NCT02656836,Home Tonometry With the I-care Tonometer for Glaucoma
NCT03333096,Assessing Neurovisual Function in Patients With Cognitive Impairment
NCT05606796,Comparison of Preserved and Preservative-free Latanoprost 0.005% in Primary Open Angle Glaucoma and Ocular Hypertensive Patients at Guinness Eye Centre Lagos.
NCT04972435,Effect of Multifocal Intraocular Lens on Contrast Sensitivity in Primary Angle-Closure Patients
NCT03304535,Social Worker in an Eye-Care Service
NCT00981435,Steroids After Laser Trabeculoplasty for Glaucoma
NCT03057496,Collision Warning Device for Blind and Visually Impaired
NCT02167035,Comparison of Combigan Two Times Daily (BID) Versus Simbrinza Three Times Daily (TID)
NCT01370135,Study to Evaluate the Effects of Ranibizumab (Lucentis) for Patients With Rubeosis and Neovascular Glaucoma
NCT03491735,Patterns of Glaucoma in Glaucoma Subspecialty Clinics in Egypt and India in the Year 2018
NCT00941096,Intraocular Pressure Reduction With the Bimatoprost/Timolol Fixed Combination
NCT00424996,Utility of Heidelberg Retina Tomograph in Monitoring Glaucoma Progression
NCT00347035,INFLUENCE OF TOPICAL INDOMETHACIN ON HYPOTHENSIVE EFFECT OF BRIMONIDINE
NCT03961035,Comparative Effectiveness and Tolerance of Subliminal Subthreshold Transscleral Cyclophotocoagulation
NCT01263535,Use of an Ocular Telemetry Sensor in Tafluprost Treated Patients
NCT04620135,Efficacy and Safety Study of Netarsudil 0.02% Ophthalmic Solution Compared to Ripasudil Hydrochloride Hydrate 0.4% Ophthalmic Solution in Japanese Subjects With Primary Open Angle Glaucoma or Ocular Hypertension
